article_name,country,revision_id,population,article_quality
Rebecca Amuge Otengo,Uganda,779397437,44.1,Start
Syda Bbumba,Uganda,779397532,44.1,Start
Alintuma Nsambu,Uganda,781605803,44.1,Stub
Esther Mbulakubuza Mbayo,Uganda,781789704,44.1,Start
Abdul Nadduli,Uganda,782460126,44.1,Stub
Moses Kizige,Uganda,782979760,44.1,Start
Maria Kiwanuka,Uganda,783449036,44.1,Start
Elijah Mushemeza,Uganda,784734768,44.1,Start
Michael Lulume Bayigga,Uganda,784768216,44.1,Start
Deo Rwabiita,Uganda,785038536,44.1,Stub
Daudi Ochieng,Uganda,785108122,44.1,Stub
Joy Kabatsi,Uganda,785339072,44.1,Start
Joshua Wanume Kibedi,Uganda,785862055,44.1,C
Kizza Besigye,Uganda,786081128,44.1,C
Apolo Kagwa,Uganda,786226893,44.1,C
Michael Kawalya Kagwa,Uganda,787306486,44.1,Stub
Abed Bwanika,Uganda,787410566,44.1,Start
Aggrey Awori,Uganda,787858057,44.1,C
Aggrey Bagiire,Uganda,787858062,44.1,Stub
Agnes Akiror,Uganda,787870163,44.1,Start
Namirembe Bitamazire,Uganda,788019797,44.1,Start
Amon Bazira,Uganda,788899061,44.1,Stub
Christopher Iga,Uganda,788972378,44.1,Stub
Nasser Sebaggala,Uganda,788972461,44.1,Start
Erias Lukwago,Uganda,788972566,44.1,Start
Template:KampalaMayors,Uganda,788972642,44.1,Stub
Beatrice Wabudeya,Uganda,789747515,44.1,Start
Jane Aceng,Uganda,789747629,44.1,C
Ruth Achieng,Uganda,789747664,44.1,Stub
Justine Ayebazibwe,Uganda,789748037,44.1,Stub
Jessica Eriyo,Uganda,789748269,44.1,Start
Mary Karooro Okurut,Uganda,789748670,44.1,Start
Adrian Tibaleka,Uganda,789748752,44.1,Stub
Nusura Tiperu,Uganda,789748782,44.1,Start
Florence Nakiwala Kiyingi,Uganda,789748978,44.1,Start
Ruth Nankabirwa,Uganda,789799593,44.1,Start
Justine Lumumba Kasule,Uganda,789799605,44.1,Start
Idah Nantaba,Uganda,789799744,44.1,C
Harriet Ntabazi,Uganda,789799847,44.1,Start
Florence Nebanda,Uganda,789799901,44.1,Start
Lukia Isanga Nakadama,Uganda,789799952,44.1,Start
Mariam Nalubega,Uganda,789799984,44.1,Start
Jenipher Namuyangu,Uganda,789800111,44.1,C
Sarah Kataike,Uganda,789800331,44.1,C
Caroline Amali Okao,Uganda,789800629,44.1,Start
Beatrice Rwakimari,Uganda,789803765,44.1,Stub
Mariam Naigaga,Uganda,790372580,44.1,C
Rose Akol,Uganda,790424964,44.1,Start
Amelia Kyambadde,Uganda,790428762,44.1,Start
Jehoash Mayanja Nkangi,Uganda,790837175,44.1,Start
Joash Mayanja Nkangi,Uganda,790993796,44.1,C
Moses Adome,Uganda,791007274,44.1,Stub
Paulson Luttamaguzi,Uganda,791007297,44.1,Stub
Charles Engola,Uganda,793154991,44.1,Start
Cerinah Nebanda,Uganda,793515881,44.1,Start
John Ssebaana Kizito,Uganda,793539141,44.1,Start
Persis Namuganza,Uganda,793628029,44.1,Start
Christine Amongin Aporu,Uganda,794194807,44.1,Start
Christine Ondoa,Uganda,794200311,44.1,Start
Concy Aciro,Uganda,795100048,44.1,Start
Peace Mutuuzo,Uganda,795181968,44.1,Start
Patrick Kayemba,Uganda,795404749,44.1,Stub
Alengot Oromait,Uganda,795458281,44.1,Start
Beti Kamya-Turwomwe,Uganda,796177970,44.1,C
